"UploadDate","Counties__Name","Counties__Jurisdictions__Name","Counties__Jurisdictions__VotingInformation__ClerkAddress__Address1","Counties__Jurisdictions__VotingInformation__ClerkAddress__Address2","Counties__Jurisdictions__VotingInformation__ClerkAddress__City","Counties__Jurisdictions__VotingInformation__ClerkAddress__Zip","Counties__Jurisdictions__VotingInformation__ClerkHours","Counties__Jurisdictions__VotingInformation__Dropboxes__Address","Counties__Jurisdictions__VotingInformation__Dropboxes__City","Counties__Jurisdictions__VotingInformation__Dropboxes__Zip","Counties__Jurisdictions__VotingInformation__Dropboxes__DropoffHours","Counties__Jurisdictions__VotingInformation__Dropboxes__Notes","Counties__Jurisdictions__VotingInformation__Dropboxes__In/Out"
"1603906894228","Alcona","Alcona Township","5576 US 23","","Black River","48721","","5576 US 23","Black River","48721","24/7","Slot in side of building","Outdoors"
"1603906894228","Alcona","Caledonia Township","6461 Gillard Rd","989-471-5377 by appt","Spruce","48762","","6461 Gillard Rd","Spruce","48762","24/7","","Outdoors"
"1603906894228","Alcona","Curtis Township","4875 F-30","","Glennie","48737","By appointment","4875 F-30","Glennie","48737","24/7","","Outdoors"
"1603906894228","Alcona","Hawes Township","1341 N Fawn St","","Lincoln","48742","","1341 N Fawn St","Lincoln","48742","24/7","On the porch","Outdoors"
"1603906894228","Alcona","Mikado Township","2268 Hamilton Rd","(989) 736-7721 by appt","Mikado","48745","","2268 Hamilton Rd","Mikado","48745","24/7","Black box by garage door.","Outdoors"
"1603906894228","Alcona","Millen Township","1433 W Trask Lake Rd","","Barton City","48705","","1433 W Trask Lake Rd","Barton City","48705","24/7","","Outdoors"
"1603906894228","Alcona","Mitchell Township","6849 Tower Road","","Curran","48728","By appointment","6849 Tower Road","Curran","48728","24/7","","Outdoors"
"1603906894228","Alger","Au Train Township","N 7570 Maple Street","","Au Train","49806","By appointment","N 7569 Spruce St","Au Train","49806","24/7","","Outdoors"
"1603906894228","Alger","Limestone Township","N 3010 State Highway 67","","Limestone","49816","By appointment","N 3010 State Highway 67","Limestone","49816","24/7","Limestone Township Hall","Outdoors"
"1603906894228","Alger","Munising Township","E9630 Prospect St","","Wetmore","49895","By appointment","E 9630 Prospect St","Wetmore","49895","24/7","","Outdoors"
